problem;instance_file_id;instance_file;no_instances;max_score;opt_no_routes;no_routes;ns;ns_size;ns_insert_size;ns_select_criteria;init_mode;init_select_mode;ls;ls_size;ls_improve_criteria;ls_select_criteria;init_max_iterations;shake_max_iterations;ls_max_iterations;vns_max_iterations;no_visited_pois;score;travel_time;wait_time;loading_time;run_time;info
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;16;549.0;107334145.0;0.0;0.0027320384979248047;1.049107313156128;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;9;166.0;85441340.0;0.0;0.0027430057525634766;0.27306294441223145;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;447.0;108812744.0;0.0;0.0026879310607910156;0.32578587532043457;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;467.0;111674203.0;0.0;0.0027017593383789062;0.9909896850585938;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;224.0;112028523.0;0.0;0.0027332305908203125;0.27430200576782227;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;394.0;100829825.0;0.0;0.0027060508728027344;0.3875110149383545;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;422.0;110883329.0;0.0;0.0026998519897460938;0.9384589195251465;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;311.0;94299599.0;0.0;0.0027811527252197266;0.3409452438354492;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;358.0;93805273.0;0.0;0.0027048587799072266;0.4080929756164551;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;455.0;110355629.0;0.0;0.00267791748046875;1.0237128734588623;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;296.0;108992250.0;0.0;0.0027408599853515625;0.3395819664001465;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;464.0;109183481.0;0.0;0.0026979446411132812;0.404127836227417;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;521.0;107607230.0;0.0;0.0026879310607910156;1.029829978942871;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;314.0;104106130.0;0.0;0.002749919891357422;0.2751166820526123;
