problem;instance_file_id;instance_file;no_instances;max_score;opt_no_routes;no_routes;ns;ns_size;ns_insert_size;ns_select_criteria;init_mode;init_select_mode;ls;ls_size;ls_improve_criteria;ls_select_criteria;init_max_iterations;shake_max_iterations;ls_max_iterations;vns_max_iterations;no_visited_pois;score;travel_time;wait_time;loading_time;run_time;info
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;418.0;106893156.0;0.0;0.0026421546936035156;0.3991882801055908;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;461.0;106929931.0;0.0;0.0026521682739257812;0.9834342002868652;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;330.0;102849713.0;0.0;0.0026421546936035156;0.24204230308532715;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;400.0;101500806.0;0.0;0.0026209354400634766;0.30388784408569336;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;16;526.0;108149241.0;0.0;0.0026581287384033203;0.9587912559509277;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;251.0;107997389.0;0.0;0.0026390552520751953;0.23807096481323242;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;440.0;102099480.0;0.0;0.0026628971099853516;0.28417515754699707;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;474.0;108538680.0;0.0;0.0026459693908691406;0.9414758682250977;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;304.0;98811117.0;0.0;0.002663135528564453;0.26104736328125;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;445.0;102632704.0;0.0;0.0026481151580810547;0.4233851432800293;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;413.0;111963952.0;0.0;0.002647876739501953;0.8711919784545898;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;289.0;110317057.0;0.0;0.0026330947875976562;0.2560751438140869;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;453.0;102937242.0;0.0;0.0026319026947021484;0.296724796295166;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;425.0;111576348.0;0.0;0.0026340484619140625;0.9013500213623047;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;341.0;97553478.0;0.0;0.0026769638061523438;0.28333020210266113;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;444.0;109610861.0;0.0;0.0026259422302246094;0.43593883514404297;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;521.0;109196341.0;0.0;0.002630949020385742;1.010854721069336;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;257.0;106855600.0;0.0;0.0026509761810302734;0.2775759696960449;
